Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI
2025,18,"State Public Charter School Authority ",55203.2,Doral Saddle MS,SPCSA,94.5,5,NO,75.2,59.5,66.3,YES,YES,NO,NO,76.2,59.6,36.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,9.5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55204.1,Doral W Pebble ES,SPCSA,88,5,NO,67.8,62.9,47.3,YES,YES,NO,NO,66.6,55.8,62.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55204.2,Doral W Pebble MS,SPCSA,88,5,NO,73.2,57.7,62.7,YES,YES,NO,NO,76.1,55,13.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",57424.1,Honors ACAD ES,SPCSA,42.2,2,YES,50,30.6,9.5,YES,YES,NO,NO,42.5,35,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",57424.2,Honors ACAD MS,SPCSA,73.8,4,YES,48.6,29.7,54.5,YES,YES,NO,NO,55,35.7,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,17.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58422.1,Pinecrest Horizon ES,SPCSA,87,5,YES,67.9,69.6,19,YES,YES,NO,NO,74,63.2,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.3,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58423.1,Pinecrest Cadence ES,SPCSA,81,4,NO,69.5,64.1,29,YES,YES,NO,NO,64.7,53.9,54.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58423.2,Pinecrest Cadence MS,SPCSA,80,5,NO,65.9,59,51.6,YES,YES,NO,NO,64.1,54.2,45.4,78.9,N/A,N/A,N/A,N/A,N/A,N/A,12.5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58423.3,Pinecrest Cadence HS,SPCSA,93,5,NO,85.4,49.4,30.3,YES,YES,NO,NO,N/A,N/A,25,N/A,94.3,78.7,74.1,55.4,>95,>95,18.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58425.1,Pinecrest Inspirada ES,SPCSA,80,4,NO,84.4,81.7,60,YES,YES,NO,NO,75.1,55.1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58425.2,Pinecrest Inspirada MS,SPCSA,95.5,5,NO,85.9,79.2,72.1,YES,YES,NO,NO,83.7,76.4,N/A,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58427.1,Pinecrest St Rose ES,SPCSA,91,5,NO,77.7,77.7,41.8,YES,YES,NO,NO,72.1,65.2,83.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58427.2,Pinecrest St Rose MS,SPCSA,97.7,5,NO,83.2,64.9,86.8,YES,YES,NO,NO,84.9,60.9,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58428.1,Pinecrest Sloan ES,SPCSA,90,5,NO,83,80.9,56.6,YES,YES,NO,NO,81.7,69,68.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58428.2,Pinecrest Sloan MS,SPCSA,84.4,5,NO,73.6,63.1,65.6,YES,YES,NO,NO,72.9,59.6,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,8.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58428.3,Pinecrest Sloan HS,SPCSA,93.5,5,NO,82.8,50,32.5,YES,YES,NO,NO,N/A,N/A,15.7,N/A,98.9,88.1,82.5,56,>95,>95,9.5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58429.2,Pinecrest Virtual MS,SPCSA,55,3,YES,55.7,31.4,36.8,YES,YES,NO,NO,50,26.9,-,78.2,N/A,N/A,N/A,N/A,N/A,N/A,8.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58429.3,Pinecrest Virtual HS,SPCSA,40.9,Not Rated,YES,61.5,15.3,28.5,-,N/A,NO,NO,N/A,N/A,-,N/A,92.8,21.4,21.4,N/A,N/A,N/A,24.6,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",58430.1,Pinecrest Springs ES,SPCSA,95,5,YES,63,60.2,N/A,YES,YES,NO,NO,70.8,58.3,86.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.8,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59119.1,Somerset NLV ES,SPCSA,73.5,4,YES,56.4,51.2,24.6,YES,YES,NO,NO,68.9,42.2,54.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59120.1,Somerset Losee ES,SPCSA,85.5,5,YES,56.7,50.6,20.7,YES,YES,NO,NO,59.3,55.5,58.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.3,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59120.2,Somerset Losee MS,SPCSA,62,3,YES,41.3,25,31.3,YES,YES,NO,NO,46.1,28.9,33.9,92.7,N/A,N/A,N/A,N/A,N/A,N/A,13.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59120.3,Somerset Losee HS,SPCSA,61,3,YES,28.7,10.4,7.5,YES,YES,NO,NO,N/A,N/A,10,N/A,95.9,63.4,21.6,45.9,>95,>95,16.8,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59121.1,Somerset Lone Mtn ES,SPCSA,85,5,NO,64.1,58.4,28.4,YES,YES,NO,NO,65.1,53.9,56.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59121.2,Somerset Lone Mtn MS,SPCSA,97,5,NO,73,54.5,61.9,YES,YES,NO,NO,75.7,55.2,60,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59122.1,Somerset Sky Pointe ES,SPCSA,86.6,5,NO,70.1,70.9,39.3,YES,YES,NO,NO,69.1,53.9,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59122.2,Somerset Sky Pointe MS,SPCSA,92.2,5,NO,67.6,54.8,63.3,YES,YES,NO,NO,69.2,54.5,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59122.3,Somerset Sky Pointe HS,SPCSA,92,5,NO,57.3,33,30.5,YES,YES,YES,NO,N/A,N/A,23.5,N/A,98.8,82.2,75,42.9,>95,>95,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59123.1,Somerset Stephanie ES,SPCSA,100,5,YES,69.4,61.4,34.3,YES,YES,NO,NO,78,68.7,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.8,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",59123.2,Somerset Stephanie MS,SPCSA,91,5,YES,70.3,48.4,58.2,YES,YES,NO,NO,74.7,48.6,52.9,>95,N/A,N/A,N/A,N/A,N/A,N/A,12.3,NO,N/A,NO,NO,N/A
